,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,pc1,pc2
0,100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,0.6053310375990621,0.6626628960820393
1,3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936,0.5979768000882433,-0.059696509308575625
2,One dime,0,0,0,0,0,0,0,0,0,0.011,0.1159999999999999,32.261086,0.09355419998062778,-0.1264701413142635
3,One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505,0.37382780815213695,-0.20165338353608722
4,Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,-0.4090051567256893,-0.19323175777768448
5,Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,0.6238071400239892,-0.8095910896400529
6,Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,1.021280349644721,0.2741179801844609
7,Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,0.7675954707635073,-0.4830001538427291
8,Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963,0.24074989327016233,-0.18185683591532986
9,Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,-0.13506783960756596,0.6255163029219233
10,Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,0.39338314946798797,0.12955090124010366
11,Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,-0.65430777751976,0.00349693325402764
12,Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,-0.4347631215026691,-0.06406057646767083
13,Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,-0.472139400069248,-0.0403853367370136
14,Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,-0.8212641630822571,0.12052200458016504
15,Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924,-0.763316905238004,-0.25086321372490406
16,Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505,-0.9949693585083068,0.22710788351818173
17,Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348,-0.8022010131760439,0.06283663302435773
18,Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974,-0.3241358945614988,-0.22778286158307387
19,Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,0.33740387002693567,-0.08186184225937662
20,Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243,-0.399266014570642,-0.09095343941178638
21,Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772,-0.3930172267381589,-0.20593820669627044
22,HersheyÕs Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454000000005,0.31333161827327105,-0.08572481476717478
23,HersheyÕs Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.28448100000001,0.3603309093585294,0.05187382792222402
24,HersheyÕs Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501,0.45041485608432474,-0.19175524303554614
25,HersheyÕs Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122,0.3330181959847494,-0.12074416535265031
26,Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439000000003,-1.0328530318369997,0.04459466084391574
27,Junior Mints,1,0,0,0,0,0,0,0,1,0.1969999999999999,0.51099998,57.21925,0.437598900956978,-0.10469708971147451
28,Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686,0.36791080010417165,-0.06944230246536111
29,Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.1159999999999999,41.389557,-0.44132402438794915,-0.2670596478948236
30,Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056,-0.9116585657253888,0.23833891866965137
31,Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392000000006,-0.5542038496654083,0.046214172563892375
32,Peanut butter M&MÕs,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505,0.7275606392210339,-0.5554537884818862
33,M&MÕs,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585,0.3333047260982708,-0.14939513720536007
34,Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716,-0.38939099566033586,-0.1914229910095731
35,Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072,0.6659483103799975,0.7979123122411559
36,Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556,0.6242220094764713,0.7687387937007027
37,Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701,0.8243837143999247,0.7650035723647067
38,Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334,0.6274248577739262,0.5335048437145709
39,Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754,0.13897883338891023,-0.156466282180749
40,Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451,0.7127165981281237,-0.7563827469477673
41,Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046,-0.8025359992535188,-0.054820849517955406
42,Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641,0.7277049221099712,-0.7793256522881802
43,Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068,0.18654820265216798,0.15021371076741125
44,Nik L Nip,0,1,0,0,0,0,0,0,1,0.1969999999999999,0.97600001,22.445341,-0.5867559093451433,-0.02334691146859727
45,Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468,-0.6451566120285733,-0.11885899072380259
46,Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597,0.7283625477257263,-0.41709837879546807
47,Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788,0.3796626209849688,-0.711610877656813
48,Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336,0.16199748598255742,-0.0143384060952437
49,Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511,-1.1415541517892045,0.17296884567508608
50,Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.1159999999999999,37.348522,-0.540319686388245,-0.07462707220696327
51,ReeseÕs Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.86625699999999,0.38900696780060146,-0.5425088236064493
52,ReeseÕs Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029,0.5904017538883158,-0.6382297121091141
53,ReeseÕs pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499,0.6176670951472466,-0.6202362026223337
54,ReeseÕs stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901,0.5066676591162687,-0.6373541825783884
55,Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756,-0.6688581926906908,0.21065136521349875
56,Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286,0.5992729505014677,0.5539960622905968
57,Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691,0.020163161164265128,0.20506872748527505
58,Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144,-0.8741507338559718,0.10258059935843078
59,Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722,0.33077519824090607,-0.16036224358532422
60,Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514,-0.6202689173851912,0.030215306881965248
61,Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695,-0.3141011640998354,-0.16568975585758772
62,Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,0.24115962270566244,-0.075060812742623
63,Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.1159999999999999,45.995827,-0.9512562144282676,0.3453034605852714
64,Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.67378199999999,1.1365781775408046,0.33665835334231736
65,Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251,1.2008820975943746,0.3222621498284617
66,Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.1159999999999999,59.863998,-0.4227908090604758,-0.052268347652395485
67,Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.1159999999999999,52.825947,-0.5433367464467302,-0.034909018937087644
68,Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,-0.5300572213877778,-0.2556962189247528
69,Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578990999999995,-0.9653420952252542,0.19798566040324722
70,Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,0.7464166374207339,0.6564236532948177
71,Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,0.5753571755120331,0.658195174319906
72,Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.1159999999999999,27.303865,-0.2648568418970848,-0.19616851325416396
73,Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,-0.7859080337548209,-0.1633399685659604
74,Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651,-0.8884769190332709,0.39762320177175425
75,Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,0.2518842481253051,-0.05743758554248663
76,Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748,0.3396545467501242,-0.12744273862666916
77,Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503,0.2926610881691912,-0.20476759834617653
78,Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229,-0.536878176174933,-0.10272889207982613
79,Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914,0.9259351480095774,0.9114155804183702
80,Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.1159999999999999,45.466282,-0.5288651301998492,0.17407315525846145
81,Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.1159999999999999,39.011898,-1.0055109876375072,0.2982888787053773
82,WelchÕs Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519,-0.48207211051090215,0.06848774912039621
83,WertherÕs Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308,0.21942769723514596,1.083541046122058
84,Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113,0.35911822653307246,0.032069054812817285
